"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Eric Cerantola","KC","RP","19.6","19","0","0","1","4.45","1.45","10","18","11","2","19","1","1"
"Ryan Loutos","SEA","RP","20.8","18","0","0","1","4.50","1.42","10","20","9","3","21","1","1"
"John Brebbia","","RP","22.4","22","0","0","1","4.87","1.39","12","23","8","4","22","1","1"
"Emiliano Teodo","TEX","RP","15.4","15","0","0","1","4.33","1.43","7","14","8","2","15","1","1"
"Jhancarlos Lara","ATL","SP,RP","14.4","16","0","0","1","4.18","1.49","7","12","9","1","14","1","1"
"Orlando Ribalta","WSH","RP","37.5","35","0","0","1","4.74","1.48","20","36","19","5","37","1","2"
"James Karinchak","ATL","RP","11.9","14","0","0","1","4.51","1.40","6","10","6","2","12","1","1"
"Dan Altavilla","MIN","RP","34.1","28","0","0","1","4.67","1.46","18","33","17","4","34","1","2"
"Nolan Hoffman","PHI","SP,RP","16.4","15","0","0","1","4.42","1.44","8","16","8","2","16","1","1"
"Josh Ekness","MIA","RP","17.2","15","0","0","1","4.46","1.43","9","17","8","2","17","1","1"
"Scott Effross","DET","RP","17.6","12","0","0","1","4.41","1.39","9","19","6","2","18","1","1"
"Doug Nikhazy","CLE","SP,RP","29.5","26","0","0","1","4.70","1.46","15","29","14","4","20","1","2"
"Jose Franco","CIN","SP,RP","16.0","15","0","0","1","4.73","1.38","8","15","7","2","16","1","1"
"Rolddy Munoz","ATL","RP","19.8","18","0","0","1","4.50","1.46","10","19","10","2","19","1","1"
