"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-"
"*031c4*","Trey Mancini","LAA","1B","4510","FA","33","","0","0","-","0%","0%"
"*06gic*","Mark Manfredi","MIL","RP","4511","FA","25","","0","0","-","1%","0%"
"*06qp0*","Thomas Mangus","CHC","RP","4512","FA","22","","0","0","-","0%","0%"
"*06hx0*","Hunter Mann","COL","RP","4513","FA","24","","0","0","-","0%","0%"
"*06do7*","Luke Mann","ATH","1B,3B","4514","FA","25","","0","0","-","0%","0%"
"*041m1*","Matt Manning","PHI","RP","4515","FA","28","","0","0","-","7%","0%"
"*03mle*","Joe Mantiply","TOR","RP","4516","FA","34","","0","0","-","2%","0%"
"*06ky4*","Marco Manzano","NYY","RP","4517","FA","22","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06r50*","Anyel Manzueta","WSH","RP","4518","FA","19","","0","0","-","0%","0%"
"*06tsv*","Sami Manzueta","HOU","2B,3B","4519","FA","17","","0","0","-","1%","0%"
"*06mw5*","Luis Maracara","SD","RP","4520","FA","18","","0","0","-","0%","0%"
"*06suq*","Agustin Marcano","WSH","C","4521","FA","19","","0","0","-","0%","0%"
"*060oh*","Carlos Marcano","DET","SP","4522","FA","22","","0","0","-","0%","0%"
"*06gy9*","Jose Marcano","CLE","1B","4523","FA","20","","0","0","-","0%","0%"
"*06jgy*","Jose Marcano","TEX","C","4524","FA","19","","0","0","-","0%","0%"
"*070cv*","Orlando Marcelin","TOR","RP","4525","FA","18","","0","0","-","0%","0%"
"*06o04*","Manuel Marchan","CIN","SP","4526","FA","18","","0","0","-","0%","0%"
"*06rhv*","Moises Marchan","KC","C","4528","FA","18","","0","0","-","3%","0%"
"*061vz*","Jorge Marcheco","ATH","SP,RP","4527","FA","23","","0","0","-","2%","0%"
"*06qr4*","Brady Marget","TB","1B","4529","FA","23","","0","0","-","0%","0%"
"*04eie*","Nick Margevicius","SF","SP","4530","FA","29","NYY Wed 8:05PM","0","0","-","0%","0%"
"*06jgh*","Yander Maria","CHC","SP","4531","FA","19","","0","0","-","1%","0%"
"*06uxs*","Diovel Mariano","CLE","RP","4532","FA","21","","0","0","-","0%","0%"
"*06icf*","Naibel Mariano","CIN","SS","4533","FA","19","","0","0","-","3%","0%"
"*06onr*","Reyli Mariano","LAD","2B","4534","FA","19","","0","0","-","2%","0%"
"*06riv*","Liosward Marin","BOS","UT","4535","FA","19","","0","0","-","0%","0%"
"*06rkd*","Nelson Marin","DET","C,1B","4536","FA","20","","0","0","-","0%","0%"
"*06zev*","Louis Marinaro","TEX","RP","4537","FA","21","","0","0","-","0%","0%"
"*06ya0*","Stiven Marinez","NYY","SS","4538","FA","18","@SF Wed 8:05PM","0","0","-","1%","0%"
"*02hiz*","Michael Mariot","SEA","SP,RP","4539","FA","37","","0","0","-","0%","0%"
"*06zf3*","Bennett Markinson","PHI","C","4540","FA","23","","0","0","-","0%","0%"
"*06za9*","Easton Marks","COL","SP","4541","FA","22","","0","0","-","0%","0%"
"*05u9a*","Jordan Marks","DET","RP","4542","FA","26","","0","0","-","1%","0%"
"*051fl*","Cade Marlowe","ATH","OF","4543","FA","28","","0","0","-","4%","0%"
"*06lwl*","Eddy Marmolejos","WSH","3B","4544","FA","18","","0","0","-","0%","0%"
"*06dq2*","Landen Maroudis","TOR","SP","4545","FA","21","","0","0","-","7%","+1%"
"*0669w*","Austin Marozas","TOR","RP","4546","FA","27","","0","0","-","0%","0%"
"*06qqr*","Anthony Marquez","SF","SS","4547","FA","19","NYY Wed 8:05PM","0","0","-","1%","0%"
"*06bj4*","Anyelo Marquez","LAA","2B","4548","FA","20","","0","0","-","0%","0%"
"*06v29*","Edinzo Marquez","NYY","SP","4549","FA","21","@SF Wed 8:05PM","0","0","-","0%","0%"
"*05u1r*","Emilio Marquez","KC","RP","4550","FA","27","","0","0","-","0%","0%"
"*06uvt*","Luis Marquez","TEX","2B,SS","4551","FA","20","","0","0","-","0%","0%"
"*06y0k*","Ramon Marquez","PHI","SP","4552","FA","19","","0","0","-","6%","0%"
"*070kr*","Victor Marquez","PIT","C","4553","FA","17","","0","0","-","0%","0%"
"*06rw4*","Adriano Marrero","LAD","SP","4554","FA","18","","0","0","-","1%","0%"
"*06rt5*","Elias Marrero","PHI","UT","4555","FA","18","","0","0","-","0%","0%"
"*04psx*","Elih Marrero","KC","C","4556","FA","28","","0","0","-","0%","0%"
"*06pq7*","Mason Marriott","ARI","SP","4557","FA","23","","0","0","-","2%","0%"
"*06qlb*","Chandler Marsh","BAL","RP","4558","FA","23","","0","0","-","0%","0%"
"*0657y*","Shane Marshall","CHC","RP","4559","FA","25","","0","0","-","0%","0%"
"*06bl3*","Francis Marte","ATH","SP","4560","FA","20","","0","0","-","0%","0%"
"*04ydj*","Jose Marte","NYM","RP","4561","FA","29","","0","0","-","0%","0%"
"*066rs*","Modeifi Marte","ARI","1B","4562","FA","23","","0","0","-","0%","0%"
"*06ie7*","Sabier Marte","NYY","SP","4563","FA","21","@SF Wed 8:05PM","0","0","-","2%","0%"
"*03yxa*","Yunior Marte","CIN","RP","4564","FA","30","","0","0","-","1%","0%"
"*06cqy*","Yunior Marte","SF","SP","4565","FA","22","NYY Wed 8:05PM","0","0","-","2%","0%"
"*06ic2*","Curley Martha","TEX","2B","4566","FA","19","","0","0","-","3%","0%"
"*06qvt*","Christian Martin","STL","2B","4567","FA","23","","0","0","-","0%","0%"
"*06qr5*","Colby Martin","MIA","RP","4568","FA","24","","0","0","-","1%","0%"
"*04afj*","Corbin Martin","CHC","RP","4569","FA","30","","0","0","-","2%","0%"
"*066jo*","David Martin","ARI","C","4570","FA","25","","0","0","-","0%","0%"
"*04q4k*","Garrett Martin","NYY","OF","4571","FA","25","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06h21*","Logan Martin","SF","SP","4572","FA","24","NYY Wed 8:05PM","0","0","-","1%","0%"
"*06zap*","Max Martin","KC","RP","4573","FA","22","","0","0","-","0%","0%"
"*06yq6*","Maximus Martin","BOS","SS","4574","FA","22","","0","0","-","3%","0%"
"*06gjp*","Maxton Martin","TEX","OF","4575","FA","20","","0","0","-","3%","0%"
"*066dq*","Payton Martin","LAD","SP","4576","FA","21","","0","0","-","11%","+1%"
"*05yam*","Riley Martin","CHC","RP","4577","FA","27","","0","0","-","2%","0%"
"*03dwo*","Rudy Martin","KC","OF","4578","FA","29","","0","0","-","0%","0%"
"*06309*","Trevor Martin","TB","RP","4579","FA","25","","0","0","-","4%","0%"
"*066t4*","Walker Martin","SF","3B,SS","4580","FA","21","NYY Wed 8:05PM","0","0","-","11%","0%"
"*06yya*","Bryce Martin-Grudzielanek","NYY","3B","4581","FA","22","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06ult*","Clarence Martina","WSH","RP","4582","FA","21","","0","0","-","0%","0%"
"*05y4l*","Alex Martinez","LAA","RP","4583","FA","23","","0","0","-","0%","0%"
"*06r5e*","Alfonzo Martinez","TB","OF","4584","FA","20","","0","0","-","0%","0%"
"*06bpt*","Anthony Martinez","CLE","UT","4585","FA","21","","0","0","-","1%","0%"
"*06r02*","Bernie Martinez","SEA","SP","4586","FA","29","","0","0","-","0%","0%"
"*06kxu*","Browm Martinez","WSH","OF","4587","FA","19","","0","0","-","2%","0%"
"*06r8b*","Bryan Martinez","LAA","OF","4588","FA","20","","0","0","-","0%","0%"
"*06z5x*","Carlos Martinez","MIA","C","4589","FA","18","","0","0","-","0%","0%"
"*0657n*","Chazz Martinez","KC","RP","4590","FA","26","","0","0","-","0%","0%"
"*06rho*","Eric Martinez","MIL","C","4591","FA","21","","0","0","-","0%","0%"
"*06bl4*","Frank Martinez","TEX","RP","4592","FA","23","","0","0","-","0%","0%"
"*05ycw*","Gabriel Martinez","TOR","OF","4593","FA","23","","0","0","-","5%","0%"
"*06qwk*","Izaak Martinez","CLE","RP","4594","FA","24","","0","0","-","1%","0%"
"*06z00*","Jack Martinez","STL","SP,RP","4595","FA","22","","0","0","-","1%","0%"
"*06mf0*","Jaset Martinez","CIN","1B","4596","FA","19","","0","0","-","1%","0%"
"*066m6*","Jeter Martinez","PIT","SP","4597","FA","19","","0","0","-","10%","+1%"
"*064w8*","Jhonny Martinez","ATL","RP","4598","FA","21","","0","0","-","0%","0%"
"*06ifp*","Jonathan Martinez","CLE","2B","4599","FA","19","","0","0","-","1%","0%"
"*06s3o*","Jose Martinez","NYY","RP","4600","FA","21","@SF Wed 8:05PM","0","0","-","0%","0%"
"*04dws*","Ernesto Martinez, Jr.","NYY","1B","4631","FA","26","@SF Wed 8:05PM","0","0","-","6%","+1%"
"*06meh*","Juan Martinez","SD","1B","4601","FA","18","","0","0","-","0%","0%"
"*06qxu*","Juan Martinez","MIL","2B,3B","4602","FA","18","","0","0","-","1%","0%"
"*06rfo*","Kendry Martinez","SEA","2B","4632","FA","18","","0","0","-","4%","0%"
"*06uwd*","Kevin Martinez","COL","SP","4603","FA","18","","0","0","-","0%","0%"
"*06ut2*","Keyner Martinez","SF","SP,RP","4604","FA","21","NYY Wed 8:05PM","0","0","-","8%","0%"
"*06mbp*","Larry Martinez","TB","1B","4605","FA","20","","0","0","-","1%","0%"
"*06s7q*","Liomar Martinez","MIA","SP","4606","FA","20","","0","0","-","6%","0%"
"*06z03*","Maison Martinez","CIN","RP","4607","FA","22","","0","0","-","0%","0%"
"*061a5*","Maximo Martinez","CHW","RP","4608","FA","21","","0","0","-","1%","0%"
"*06qyf*","Michael Martinez","MIN","RP","4609","FA","26","","0","0","-","0%","0%"
"*06r2s*","Michael Martinez","ATL","OF","4610","FA","19","","0","0","-","2%","0%"
"*06aw4*","Omar Martinez","LAA","C","4611","FA","24","","0","0","-","1%","0%"
"*04mms*","Orelvis Martinez","WSH","2B","4612","FA","24","","0","0","-","28%","0%"
"*04qnf*","Orlando Martinez","TEX","OF","4613","FA","27","","0","0","-","1%","0%"
"*0664m*","Quinton Martinez","LAA","SP","4614","FA","27","","0","0","-","0%","0%"
"*06r16*","Randol Martinez","PIT","RP","4615","FA","18","","0","0","-","0%","0%"
"*06kx7*","Randy Martinez","CLE","1B","4616","FA","18","","0","0","-","0%","0%"
"*05t7u*","Raudelis Martinez","BOS","1B","4617","FA","23","","0","0","-","1%","0%"
"*06qtd*","Robinson Martinez","NYM","RP","4618","FA","27","","0","0","-","0%","0%"
"*03mon*","Rodolfo Martinez","BAL","RP","4619","FA","31","","0","0","-","0%","0%"
"*06tzw*","Santiago Martinez","MIL","SP","4620","FA","17","","0","0","-","0%","0%"
"*0420n*","Seth Martinez","BOS","RP","4621","FA","31","","0","0","-","2%","0%"
"*06jh5*","Stiven Martinez","BAL","OF","4622","FA","18","","0","0","-","6%","0%"
"*06qk7*","Xavier Martinez","CLE","RP","4623","FA","22","","0","0","-","0%","0%"
"*06l3l*","Yeral Martinez","MIA","1B","4624","FA","23","","0","0","-","0%","0%"
"*06mva*","Yordani Martinez","MIA","2B","4625","FA","19","","0","0","-","0%","0%"
"*06giu*","Luis Martinez-Gomez","CHC","RP","4626","FA","22","","0","0","-","1%","0%"
"*060qg*","Mairoshendrick Martinus","LAD","3B,SS,OF","4628","FA","20","","0","0","-","3%","0%"
"*06qzp*","Shendrion Martinus","CIN","3B","4629","FA","19","","0","0","-","0%","0%"
"*0648v*","Nathan Martorella","MIA","1B","4630","FA","24","","0","0","-","7%","0%"
"*06h1u*","Jack Maruskin","BAL","SP","4633","FA","26","","0","0","-","0%","0%"
"*0648t*","J.P. Massey","PIT","RP","4634","FA","25","","0","0","-","0%","0%"
"*06dn0*","Michael Massey","DET","SP","4635","FA","22","","0","0","-","5%","0%"
"*06z5w*","Richer Mata","KC","1B","4636","FA","17","","0","0","-","0%","0%"
"*067ww*","Angel Mateo","TB","OF","4637","FA","20","","0","0","-","2%","0%"
"*06bj0*","Carlos Mateo","KC","SP","4638","FA","22","","0","0","-","0%","0%"
"*06ics*","Carlos Mateo","PIT","RP","4639","FA","20","","0","0","-","0%","0%"
"*06r2w*","Juan Mateo","ATL","3B","4640","FA","18","","0","0","-","2%","0%"
"*066t9*","Juan Matheus","MIA","3B","4641","FA","21","","0","0","-","2%","0%"
"*06qii*","Jack Mathey","SD","C","4642","FA","22","","0","0","-","0%","0%"
"*070dv*","Dylan Mathiesen","PIT","SP","4643","FA","21","","0","0","-","0%","0%"
"*06qsy*","Ryan Mathiesen","HOU","RP","4644","FA","22","","0","0","-","0%","0%"
"*06j3h*","Cole Mathis","CHC","3B","4645","FA","22","","0","0","-","11%","+1%"
"*06pgl*","Carter Mathison","PHI","OF","4646","FA","23","","0","0","-","2%","0%"
"*06muy*","Carlos Matias","TB","OF","4647","FA","19","","0","0","-","0%","0%"
"*06jd5*","Richard Matic","NYY","3B","4648","FA","18","@SF Wed 8:05PM","0","0","-","6%","0%"
"*06akq*","David Matoma","PIT","RP","4649","FA","19","","0","0","-","4%","0%"
"*06k87*","Erick Matos","ATH","SP","4650","FA","19","","0","0","-","1%","0%"
"*06ifl*","Ewing Matos","MIN","OF","4651","FA","19","","0","0","-","0%","0%"
"*06qu2*","Sean Matson","CLE","SP,RP","4652","FA","23","","0","0","-","2%","0%"
"*06giq*","Case Matter","TEX","RP","4653","FA","24","","0","0","-","0%","0%"
"*06taf*","Jason Matthews","CHW","3B","4654","FA","28","","0","0","-","0%","0%"
"*01iz0*","Tyler Matzek","STL","RP","4655","FA","35","","0","0","-","1%","0%"
"*070dd*","Logan Maxwell","NYY","OF","4656","FA","23","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06mwh*","Aiden May","MIA","SP","4657","FA","22","","0","0","-","6%","0%"
"*05rez*","Brando Mayea","NYY","OF","4658","FA","20","@SF Wed 8:05PM","0","0","-","13%","+1%"
"*06qra*","Bryce Mayer","HOU","SP","4659","FA","23","","0","0","-","8%","0%"
"*0514a*","Gunner Mayer","PHI","RP","4660","FA","25","","0","0","-","1%","0%"
"*06c5n*","Jacob Mayers","BOS","RP","4661","FA","21","","0","0","-","1%","0%"
"*06yts*","Diustin Mayorquin","MIL","SP","4663","FA","18","","0","0","-","1%","0%"
"*06qky*","Niko Mazza","SF","SP","4664","FA","23","NYY Wed 8:05PM","0","0","-","1%","0%"
"*06f0z*","Charles McAdoo","TOR","3B","4665","FA","23","","0","0","-","9%","0%"
"*06twb*","Aric McAtee","CHW","RP","4666","FA","25","","0","0","-","0%","0%"
"*06alp*","Ben McCabe","COL","C","4667","FA","25","","0","0","-","0%","0%"
"*06485*","David McCabe","ATL","1B,3B","4668","FA","25","","0","0","-","5%","0%"
"*05lb8*","Zach McCambley","PHI","SP,RP","4669","FA","26","","0","0","-","3%","0%"
"*070dc*","David McCann","NYY","C","4670","FA","21","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06qqs*","T.J. McCants","CHW","OF","4671","FA","24","","0","0","-","0%","0%"
"*05y5h*","DJ McCarty","TEX","SP","4672","FA","23","","0","0","-","1%","0%"
"*0669q*","Ryan McCarty","TOR","2B,OF","4673","FA","26","","0","0","-","0%","0%"
"*04em5*","Darren McCaughan","CIN","RP","4674","FA","29","","0","0","-","1%","0%"
"*06zlg*","Will McCausland","CLE","SP,RP","4675","FA","22","","0","0","-","1%","0%"
"*06hj4*","Zac McCleve","TB","RP","4676","FA","25","","0","0","-","0%","0%"
"*072ef*","LeTrey McCollum","LAA","OF","4677","FA","22","","0","0","-","0%","0%"
"*068vt*","Tommy McCollum","TB","RP","4678","FA","26","","0","0","-","0%","0%"
"*06zlk*","Jacob McCombs","MIN","OF","4679","FA","21","","0","0","-","1%","0%"
"*06z7n*","Mason McConnaughey","TEX","SP","4680","FA","21","","0","0","-","1%","0%"
"*06qhv*","Cole McConnell","CHW","OF","4681","FA","25","","0","0","-","0%","0%"
"*06qig*","Alex McCoy","SD","OF","4682","FA","23","","0","0","-","1%","0%"
"*06av8*","Kyle McCoy","CIN","SP","4683","FA","21","","0","0","-","1%","0%"
"*06aht*","Ryan McCoy","TB","OF","4684","FA","23","","0","0","-","0%","0%"
"*06hnh*","Mac McCroskey","LAA","2B,SS","4685","FA","26","","0","0","-","0%","0%"
"*06qu4*","Ryan McCrystal","CIN","C,1B","4686","FA","23","","0","0","-","0%","0%"
"*06655*","Brody McCullough","CHC","SP","4687","FA","25","","0","0","-","4%","0%"
"*0662x*","Connor McCullough","CHW","SP","4688","FA","26","","0","0","-","0%","0%"
"*06zi3*","Jake McCutcheon","MIA","OF","4689","FA","22","","0","0","-","1%","0%"
"*06qin*","Charlie McDaniel","SF","SP,RP","4690","FA","24","NYY Wed 8:05PM","0","0","-","0%","0%"
"*0662w*","Drew McDaniel","CHW","SP","4691","FA","25","","0","0","-","0%","0%"
"*06eks*","Quinn McDaniel","SF","2B","4692","FA","23","NYY Wed 8:05PM","0","0","-","2%","0%"
"*06qyw*","Garrett McDaniels","LAD","RP","4693","FA","26","","0","0","-","2%","0%"
"*06tvl*","Ryan McDonagh","KC","SP","4694","FA","19","","0","0","-","1%","0%"
"*06gj2*","LJ McDonough","ATL","RP","4695","FA","25","","0","0","-","0%","0%"
"*05ung*","Tyler McDonough","BOS","SS","4696","FA","26","","0","0","-","2%","0%"
"*06qps*","Micah McDowell","MIA","OF","4697","FA","25","","0","0","-","0%","0%"
"*05zy8*","Chris McElvain","TOR","SP","4698","FA","25","","0","0","-","1%","0%"
"*051jg*","Alex McFarlane","PHI","SP,RP","4699","FA","24","","0","0","-","4%","0%"
"*0603s*","Haydn McGeary","CHC","1B","4700","FA","26","","0","0","-","5%","0%"
"*062k8*","Cade McGee","STL","2B,3B","4701","FA","23","","0","0","-","1%","0%"
"*06zf2*","Jonny McGill","LAA","OF","4702","FA","23","","0","0","-","0%","0%"
"*06hh6*","Will McGillis","LAA","SS","4703","FA","27","","0","0","-","0%","0%"
"*06yw9*","Connor McGinnis","NYY","2B","4704","FA","23","@SF Wed 8:05PM","0","0","-","0%","0%"
"*05y68*","Bryce McGowan","COL","RP","4706","FA","25","","0","0","-","0%","0%"
"*05xpu*","Christian McGowan","PHI","SP","4707","FA","25","","0","0","-","2%","0%"
"*06z4a*","Cooper McGrath","SF","RP","4708","FA","24","NYY Wed 8:05PM","0","0","-","0%","0%"
"*05yiv*","Teddy McGraw","SEA","SP","4709","FA","24","","0","0","-","6%","+1%"
"*06qpj*","Logan McGuire","CLE","RP","4710","FA","23","","0","0","-","0%","0%"
"*05ynw*","Shane McGuire","ATH","C,1B","4711","FA","26","","0","0","-","0%","0%"
"*05zdb*","Mason McGwire","CHC","SP","4712","FA","22","","0","0","-","1%","0%"
"*05rda*","Brandon McIlwain","NYM","OF","4713","FA","27","","0","0","-","0%","0%"
"*06qkf*","Colton McIntosh","CHW","RP","4714","FA","25","","0","0","-","0%","0%"
"*05yi0*","Paul McIntosh","PHI","C","4715","FA","28","","0","0","-","1%","0%"
"*06qof*","Dalton McIntyre","ATL","OF","4716","FA","22","","0","0","-","0%","0%"
"*05y4u*","Donovan McIntyre","SF","OF","4717","FA","23","NYY Wed 8:05PM","0","0","-","0%","0%"
"*0516m*","Evan McKendry","MIA","SP,RP","4718","FA","27","","0","0","-","1%","0%"
"*06rw3*","Briggs McKenzie","ATL","SP","4719","FA","19","","0","0","-","16%","0%"
"*05txw*","Jared McKenzie","WSH","OF","4720","FA","24","","0","0","-","2%","0%"
"*05yis*","Nick McLain","CHW","OF","4722","FA","23","","0","0","-","4%","0%"
"*05yax*","Sean McLain","LAD","SS","4723","FA","24","","0","0","-","1%","0%"
"*06que*","Ben McLaughlin","ARI","1B","4724","FA","23","","0","0","-","1%","0%"
"*05yhs*","J.D. McLaughlin","DET","OF","4725","FA","25","","0","0","-","0%","0%"
"*0657a*","Mark McLaughlin","CHW","RP","4726","FA","24","","0","0","-","0%","0%"
"*06aqj*","Trey McLoughlin","HOU","RP","4727","FA","26","","0","0","-","0%","0%"
"*07032*","Tyler McLoughlin","NYM","SP,RP","4728","FA","23","","0","0","-","0%","0%"
"*04z5r*","Chris McMahon","COL","SP","4729","FA","26","","0","0","-","2%","0%"
"*06hw8*","Garrett McMillan","PIT","SP","4730","FA","24","","0","0","-","1%","0%"
"*0423z*","John McMillon","PHI","RP","4731","FA","28","","0","0","-","3%","0%"
"*05y0v*","Brennon McNair","KC","OF","4732","FA","23","","0","0","-","1%","0%"
"*072ez*","Jamaurion McQueen","TEX","OF","4733","FA","19","","0","0","-","2%","0%"
"*07038*","J.D. McReynolds","TEX","RP","4734","FA","22","","0","0","-","0%","0%"
"*06qtg*","Matt McShane","BOS","RP","4735","FA","23","","0","0","-","1%","0%"
"*06suw*","Jake McSteen","ATL","RP","4736","FA","29","","0","0","-","0%","0%"
"*051cu*","Morgan McSweeney","MIA","SP","4737","FA","28","","0","0","-","0%","0%"
"*06ek2*","Xavier Meachem","MIA","RP","4738","FA","23","","0","0","-","1%","0%"
"*06498*","Jacob Meador","LAD","SP,RP","4739","FA","25","","0","0","-","0%","0%"
"*06mnf*","Bryce Meccage","MIL","SP","4740","FA","19","","0","0","-","13%","0%"
"*05mrh*","Kade Mechals","CHW","SP,RP","4741","FA","28","","0","0","-","0%","0%"
"*06qnp*","Alexander Meckley","WSH","SP","4742","FA","22","","0","0","-","0%","0%"
"*06sbs*","Albert Medina","ARI","OF","4743","FA","18","","0","0","-","0%","0%"
"*06kvq*","Amilcar Medina","ATH","RP","4744","FA","21","","0","0","-","0%","0%"
"*06cmq*","Elias Medina","LAD","OF","4745","FA","20","","0","0","-","4%","0%"
"*06c38*","Jhon Medina","COL","SP","4746","FA","20","","0","0","-","0%","0%"
"*06r7t*","Johandi Medina","TOR","RP","4747","FA","18","","0","0","-","0%","0%"
"*06mia*","Juan Medina","BOS","SP","4748","FA","19","","0","0","-","0%","0%"
"*063u5*","Manuel Medina","BOS","RP","4749","FA","23","","0","0","-","1%","0%"
"*061zd*","Nomar Medina","SF","SP","4750","FA","23","NYY Wed 8:05PM","0","0","-","0%","0%"
"*06v2a*","Raimel Medina","KC","OF","4751","FA","21","","0","0","-","0%","0%"
"*06ric*","Ramcell Medina","KC","SS","4752","FA","18","","0","0","-","4%","0%"
"*06rhw*","Raymer Medina","TB","SS","4753","FA","18","","0","0","-","2%","0%"
"*06mmz*","Roberto Medina","TB","RP","4754","FA","21","","0","0","-","0%","0%"
"*06r0i*","Ruben Medina","TEX","SP","4755","FA","20","","0","0","-","0%","0%"
"*06zf1*","Chase Meggers","NYM","C","4756","FA","23","","0","0","-","0%","0%"
"*05yng*","Justin Meis","PIT","RP","4758","FA","26","","0","0","-","0%","0%"
"*06kul*","Adriander Mejia","BAL","C","4759","FA","19","","0","0","-","0%","0%"
"*03mog*","Erick Mejia","WSH","RP","4760","FA","31","","0","0","-","1%","0%"
"*06jfn*","Esteban Mejia","BAL","SP","4761","FA","18","","0","0","-","35%","0%"
"*06lvd*","Esteban Mejia","TEX","3B,SS","4762","FA","21","","0","0","-","1%","0%"
"*06585*","Ian Mejia","ATL","SP","4763","FA","25","","0","0","-","4%","0%"
"*06sbv*","Ismael Mejia","ARI","1B","4764","FA","17","","0","0","-","0%","0%"
"*05ucg*","Jonathan Mejia","STL","2B,SS","4765","FA","20","","0","0","-","5%","0%"
"*06biu*","Jose Mejia","BAL","3B","4766","FA","20","","0","0","-","2%","0%"
"*06rot*","Jose Mejia","KC","SP","4767","FA","19","","0","0","-","0%","0%"
"*06uls*","Naoel Mejia","PHI","RP","4768","FA","23","","0","0","-","0%","0%"
"*06r4k*","Omar Mejia","KC","3B","4769","FA","19","","0","0","-","0%","0%"
"*06ktl*","Samuel Mejia","ATL","RP","4770","FA","23","","0","0","-","0%","0%"
"*06fi0*","Sandy Mejia","HOU","SP","4771","FA","22","","0","0","-","2%","0%"
"*05xzy*","Alvaro Mejias","TB","RP","4772","FA","22","","0","0","-","0%","0%"
"*06aws*","Christian Mejias","MIL","SP","4773","FA","26","","0","0","-","0%","0%"
"*06lfw*","Ubert Mejias","SF","RP","4774","FA","24","NYY Wed 8:05PM","0","0","-","0%","0%"
"*06zf6*","Adiel Melendez","ATL","SP","4775","FA","23","","0","0","-","0%","0%"
"*06um1*","Edwardo Melendez","CHC","SP,RP","4776","FA","21","","0","0","-","0%","0%"
"*06z9u*","Gustavo Melendez","PIT","SS","4777","FA","18","","0","0","-","3%","0%"
"*060ih*","Ivan Melendez","ARI","1B","4778","FA","26","","0","0","-","12%","0%"
"*06fqw*","Yahil Melendez","CHC","SS","4779","FA","20","","0","0","-","3%","0%"
"*06r1t*","Oscar Melgarejo","CLE","SP","4780","FA","20","","0","0","-","0%","0%"
"*06lwf*","Leandy Mella","NYM","OF","4781","FA","18","","0","0","-","0%","0%"
"*06l51*","Bryan Mena","PIT","SP,RP","4782","FA","21","","0","0","-","0%","0%"
"*06bkx*","Walvin Mena","ARI","RP","4783","FA","20","","0","0","-","0%","0%"
"*06rs0*","Bryant Mendez","SEA","2B","4784","FA","22","","0","0","-","0%","0%"
"*06o0t*","Franyer Mendez","CIN","SP","4785","FA","19","","0","0","-","0%","0%"
"*06klj*","Gerinton Mendez","MIA","SP","4786","FA","19","","0","0","-","0%","0%"
"*05rhb*","Hendry Mendez","MIN","OF","4787","FA","22","","0","0","-","10%","+1%"
"*06sbw*","Jeshua Mendez","ARI","C","4788","FA","18","","0","0","-","0%","0%"
"*066r4*","Jesus Mendez","CHW","RP","4789","FA","21","","0","0","-","0%","0%"
"*0620i*","Julio Mendez","MIA","SP","4790","FA","21","","0","0","-","1%","0%"
"*066ok*","Leam Mendez","NYY","SP","4791","FA","26","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06hsi*","Lenin Mendez","MIL","RP","4792","FA","21","","0","0","-","0%","0%"
"*0620t*","Luis Mendez","COL","1B","4793","FA","23","","0","0","-","0%","0%"
"*06r8f*","Miguel Mendez","SD","RP","4794","FA","23","","0","0","-","16%","0%"
"*064oj*","Romel Mendez","PHI","OF","4795","FA","21","","0","0","-","0%","0%"
"*04z92*","Teofilo Mendez","ARI","RP","4796","FA","24","","0","0","-","0%","0%"
"*066q7*","Wady Mendez","TEX","OF","4797","FA","21","","0","0","-","0%","0%"
"*06rm0*","Wuilberth Mendez","DET","SP","4798","FA","21","","0","0","-","0%","0%"
"*06amj*","Noah Mendlinger","STL","2B,OF","4799","FA","25","","0","0","-","1%","0%"
"*05y66*","Brayan Mendoza","MIA","RP","4800","FA","22","","0","0","-","2%","0%"
"*05w7q*","Carlos Mendoza","TOR","2B,3B","4801","FA","26","","0","0","-","1%","0%"
"*04em9*","Dante Mendoza","CLE","SP,RP","4802","FA","27","","0","0","-","0%","0%"
"*06ru1*","Edwin Mendoza","ATH","RP","4803","FA","18","","0","0","-","0%","0%"
"*062l4*","Jordarlin Mendoza","NYY","RP","4804","FA","22","@SF Wed 8:05PM","0","0","-","1%","0%"
"*0507o*","Ramon Mendoza","STL","3B","4805","FA","25","","0","0","-","0%","0%"
"*066fu*","Joseph Menefee","CIN","RP","4806","FA","26","","0","0","-","0%","0%"
"*05ynz*","Antonio Menendez","ARI","RP","4807","FA","26","","0","0","-","0%","0%"
"*06ifi*","Ruben Menes","STL","SP","4808","FA","23","","0","0","-","0%","0%"
"*072fg*","Luke Mensik","SF","SP","4809","FA","18","NYY Wed 8:05PM","0","0","-","1%","0%"
"*06yy9*","Lorenzo Meola","SF","2B","4810","FA","22","NYY Wed 8:05PM","0","0","-","2%","0%"
"*06aq7*","Richard Meran","NYY","OF","4811","FA","19","@SF Wed 8:05PM","0","0","-","0%","0%"
"*06qzc*","Enderson Mercado","MIL","SP","4812","FA","18","","0","0","-","0%","0%"
"*06szo*","Estarling Mercado","NYM","1B","4813","FA","22","","0","0","-","0%","0%"
"*06uxq*","Logan Mercado","ARI","SP,RP","4814","FA","24","","0","0","-","0%","0%"
