Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Connor Charping,26,AA,SEA,C,1356.5,1091,1030,1736,,1569
Brian Kalmer,24,A+,CHC,3B,1356.8,1431,1065,1373,1157,1758
Carter Johnson,19,A,MIA,SS,1357.2,686,1995,1214,770,2121
Giomar Ubiera,17,DSL,NYM,SS,1357.5,,1640,,,1075
Jhon Simon,17,DSL,TEX,3B,1358,,1231,,,1485
Ichiro Cano,20,A,CIN,3B,1358.75,1261,1676,919,,1579
Danyer Cueva,21,A+,TEX,SS,1360.6666666666667,792,,1256,,2034
Yassel Garcia,17,DSL,ATL,SS,1362,,,,,1362
Anthuan Valencia,20,A,CIN,SS,1362.5,,,936,,1789
Kenny Castillo,21,A+,ARI,C,1363.6,749,1931,1068,729,2341
Arol Vera,22,AA,LAA,SS,1363.8,908,1911,880,564,2556
Carlos Taveras,17,DSL,MIN,CF,1365,,,,,1365
Pedro Dalmagro,19,CPX,CLE,C,1365,,1349,,,1381
Jose Pena,16,DSL,BAL,SS,1365.5,,1485,,,1246
Alonso Gallegos,18,DSL,ARI,2B,1367,,,,,1367
Christopher Espinola,21,A,CLE,CF,1367.5,1226,,1513,1006,1725
Tomas Frick,24,AA,NYY,C,1367.6,1222,2120,1484,738,1274
Aiverson Barazarte,17,DSL,ATH,C,1368,,,,,1368
Carson Rucker,20,A,DET,SS,1368.8,970,1677,1192,1055,1950
Fabian Alcantara,19,DSL,SDP,SS,1369,,1142,,,1596
Rafe Perich,23,A+,TEX,3B,1371.2,1300,1917,1111,736,1792
Randal Diaz,22,A,WSN,SS,1371.4,1621,947,1089,1008,2192
Rayner Arias,19,A,SFG,CF,1372.3333333333333,,1095,1220,,1802
Max Wagner,23,AA,BAL,3B,1373,1153,1751,1231,1038,1692
Jhonael Cuello,17,DSL,NYM,OF,1373,,,,,1373
TT Bowens,27,AAA,BAL,1B,1373,1380,1970,1081,,1061
