Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Joe Glassey,23,A+,BAL,334.25,,97,589,116,535
Kade Strowd,27,MLB,BAL,334.25,,474.5,,,194
Marques Johnson,24,AA,SFG,334.5,,101.5,,516,386
Yorman Galindez,21,A,MIL,335.5,,179,,,492
Trevor Harrison,19,A+,TBR,337.4,124,841,26,162,534
Patrick Copen,23,AA,LAD,337.7,490,507.5,176,348,167
Jose Gonzalez,23,AA,LAA,338.1,610,452.5,109,88,431
Jackson Kirkpatrick,22,A+,CHC,343.3333333333333,,68,,446,516
Phil Fox,22,AA,CHW,344.1666666666667,,117.5,,252,663
Kervin Castro,26,MLB,DET,346.25,,439.5,,,253
Brody McCullough,24,AA,CHC,347.25,,403.5,,,291
Mason Moore,23,A,CHW,350,,,,,350
Clayton Beeter,26,MLB,WSN,350.6666666666667,,73,923,,56
Dugan Darnell,28,MLB,DET,351,,221,,,481
Caden Grice,22,A,ARI,351.25,,342.5,,,360
Andrew Morris,23,AAA,MIN,351.3,222,726.5,400,308,100
Carson Hobbs,23,AA,LAD,352.3333333333333,,84,,357,616
Walbert Urena,21,AAA,LAA,352.9,346,868.5,14,138,398
Jacob Miller,21,AA,MIA,354.2,254,1066,34,152,265
Jack Anderson,25,AAA,BOS,354.5,428,,418,164,408
Jack Cebert,23,A+,NYY,355,,,,,355
Quinn Mathews,24,AAA,STL,356.4,268,639,147,647,81
Fernando Perez,21,AA,TOR,358.7,564,732.5,19,140,338
Paul Gervase,25,MLB,LAD,360,,35,,660,385
Pete Hansen,24,AAA,STL,360,226,932,104,261,277
Felipe De La Cruz,24,AAA,NYM,360.125,625,189.5,,291,335
Marlon Nieves,20,A,LAD,360.2,141,622,99,520,419
Grant Holman,25,MLB,ATH,360.25,,122.5,,,598
Eliazar Dishmey,20,A+,MIA,360.8,315,544,62,221,662
Mason Burns,23,AA,STL,362.5,,77.5,,395,615
Miguel Ullola,23,AAA,HOU,362.9,180,452.5,93,686,403
Matt Krook,30,MLB,CLE,363,,235,,,491
Hunter Cranton,24,A+,ARI,363,,,,,363
Eric Orze,27,MLB,TBR,364,,76,747,,269
Augusto Mendieta,20,A,KCR,364.5,,158.5,,255,680
Josh Ekness,23,AAA,MIA,365.8333333333333,,82.5,,540,475
Jurrangelo Cijntje,22,AA,SEA,367.5,472,817.5,131,266,151
Kade Morris,23,AAA,ATH,367.7,334,959.5,57,283,205
Jackson Kent,22,AA,WSN,368.1,700,876.5,68,51,145
Ryan Watson,27,AAA,BOS,369.75,,452.5,,,287
Argenis Cayama,18,A,SFG,371,,,318,,424
Josh Bostick,23,A+,SFG,371,369,559,275,239,413
R.J. Gordon,23,AA,NYM,371.5,726,683.5,141,93,214
Easton McGee,27,MLB,MIL,371.75,,573.5,,,170
Allan Winans,29,MLB,NYY,372.625,437,370.5,428,,255
Yondrei Rojas,22,AA,TOR,376.5,,249.5,,176,704
Zane Taylor,23,AAA,ATH,377,,,,,377
Reiss Knehr,28,MLB,SDP,377,,672,,,82
Trevin Michael,27,AAA,DET,377.5,,147,,,608
Herick Hernandez,21,A+,ATL,377.9,544,690.5,112,279,264
Nicolas Herold,26,A+,SFG,379,,,,,379
Jon Olsen,28,AAA,NYY,380,,,,,380
Wyatt Crowell,23,AA,LAD,380.7,507,439.5,230,492,235
Thomas Szapucki,29,MLB,DET,381,,,,,381
Shane Murphy,24,AAA,CHW,382.9,317,806.5,15,157,619
Noah Schultz,21,AAA,CHW,383,334,855,409,257,60
Justin Chambers,19,A,LAD,384,,,182,513,457
Isaiah Coupet,22,A+,COL,385.25,,598.5,,,172
Mason Barnett,24,MLB,ATH,386.2,161,755,217,640,158
Jhancarlos Lara,22,AAA,ATL,386.8333333333333,,370.5,,631,159
Max Carlson,23,A+,BOS,388.7,362,162.5,880,81,458
Parker Mushinski,29,MLB,CLE,388.75,,361.5,,,416
Carson Whisenhunt,24,MLB,SFG,390.9,448,710.5,194,414,188
Peyton Gray,30,AAA,TEX,391.5,,622,,,161
Chen Zhong-Ao Zhuang,24,AA,ATH,392.8,432,968,130,184,250
Kevin Stevens,27,AA,NYY,393.25,,237.5,,,549
Jose Olivares,22,A+,MIN,394.1,227,667.5,185,350,541
Enoli Paredes,29,MLB,ATL,394.5,,349,,,440
Anyer Laureano,21,A,CIN,395,,147,,,643
Luke Little,24,MLB,CHC,395.3333333333333,,97,,871,218
Brendan Girton,23,AA,NYM,397,605,288,273,316,503
Jean Cabrera,23,AA,PHI,398.8,435,907,90,290,272
Will Klein,25,MLB,LAD,399.6666666666667,,165,,896,138
Trevor McDonald,24,MLB,SFG,399.75,534,588,,406,71
Jesus Gamez,22,A+,TEX,400.1666666666667,,49.5,,567,584
RJ Petit,25,AAA,COL,400.8333333333333,,119.5,,581,502
Braden Nett,23,AA,ATH,401.1,347,791.5,357,240,270
Evan Yates,22,AAA,BAL,403,417,538,72,161,827
Peter Heubeck,22,AA,LAD,403.1,242,825.5,342,265,341
Carlos Rodriguez,23,MLB,MIL,403.3,281,825.5,260,351,299
Angel Bastardo,22,AA,TOR,404.75,,677.5,,,132
Fidel Ulloa,22,A+,COL,404.8333333333333,,122.5,,380,712
Drew Beam,22,A+,KCR,405.1,213,1262.5,134,232,184
Chen-Wei Lin,23,AA,STL,405.2,465,258,650,463,190
Ben Shields,26,AAA,COL,405.4,409,377,798,324,119
Caden Dana,21,MLB,LAA,405.7,97,868.5,408,475,180
Geoffrey Gilbert,24,AA,NYY,406.1666666666667,,80.5,,346,792
Jose Marte,28,MLB,LAA,406.75,,408.5,,,405
Colin Fields,25,AAA,DET,407.125,912,101.5,,253,362
Matt Pushard,27,AAA,STL,408,,126,,,690
Winston Santos,23,AAA,TEX,408.3333333333333,,1010,,67,148
Juan Valera,19,A+,BOS,408.5,220,765.5,936,42,79
Ryan Lobus,24,AA,TEX,409.3333333333333,,206,,725,297
